Song Id,Track Name,Genre,Source,License
1,A Classic Education - NightOwl,Singer/Songwriter,MedleyDB,CC BY-NC-SA
2,Actions - Devil's Words,Pop/Rock,DSD,Restricted
3,Actions - One Minute Smile,Pop/Rock,DSD,Restricted
4,Actions - South Of The Water,Pop/Rock,DSD,Restricted
5,Aimee Norwich - Child,Singer/Songwriter,MedleyDB,CC BY-NC-SA
6,Al James - Schoolboy Facination,Pop/Rock,DSD,Restricted
7,Alexander Ross - Goodbye Bolero,Singer/Songwriter,MedleyDB,CC BY-NC-SA
8,Alexander Ross - Velvet Curtain,Singer/Songwriter,MedleyDB,CC BY-NC-SA
9,AM Contra - Heart Peripheral,Pop/Rock,DSD,Restricted
10,Angela Thomas Wade - Milk Cow Blues,Country,DSD,Restricted
11,Angels In Amplifiers - I'm Alright,Rock,DSD,Restricted
12,ANiMAL - Clinic A,Rap,DSD,Restricted
13,ANiMAL - Easy Tiger,Rap,DSD,Restricted
14,ANiMAL - Rockshow,Rap,DSD,Restricted
15,Arise - Run Run Run,Reggae,DSD,Restricted
16,Atlantis Bound - It Was My Fault For Waiting,Pop/Rock,DSD,Restricted
17,Auctioneer - Our Future Faces,Singer/Songwriter,MedleyDB,CC BY-NC-SA
18,AvaLuna - Waterduct,Rock,MedleyDB,CC BY-NC-SA
19,Ben Carrigan - We'll Talk About It All Tonight,Pop/Rock,DSD,Restricted
20,BigTroubles - Phantom,Rock,MedleyDB,CC BY-NC-SA
21,Bill Chudziak - Children Of No-one,Pop/Rock,DSD,Restricted
22,BKS - Bulldozer,Pop/Rock,DSD,Restricted
23,BKS - Too Much,Pop/Rock,DSD,Restricted
24,Black Bloc - If You Want Success,Pop/Rock,DSD,Restricted
25,Bobby Nobody - Stitch Up,Pop/Rock,DSD,Restricted
26,Buitraker - Revo X,Pop/Rock,DSD,Restricted
27,Carlos Gonzalez - A Place For Us,Pop/Rock,DSD,Restricted
28,Celestial Shore - Die For Us,Singer/Songwriter,MedleyDB,CC BY-NC-SA
29,Chris Durban - Celebrate,Electronic,DSD,Restricted
30,Clara Berry And Wooldog - Air Traffic,Singer/Songwriter,MedleyDB,CC BY-NC-SA
31,Clara Berry And Wooldog - Stella,Singer/Songwriter,MedleyDB,CC BY-NC-SA
32,Clara Berry And Wooldog - Waltz For My Victims,Singer/Songwriter,MedleyDB,CC BY-NC-SA
33,Cnoc An Tursa - Bannockburn,Heavy Metal,DSD,Restricted
34,Creepoid - OldTree,Rock,MedleyDB,CC BY-NC-SA
35,Cristina Vane - So Easy,Pop/Rock,DSD,Restricted
36,Dark Ride - Burning Bridges,Heavy Metal,DSD,Restricted
37,Detsky Sad - Walkie Talkie,Pop/Rock,DSD,Restricted
38,Dreamers Of The Ghetto - Heavy Love,Pop,MedleyDB,CC BY-NC-SA
39,Drumtracks - Ghost Bitch,Pop/Rock,DSD,Restricted
40,Enda Reilly - Cur An Long Ag Seol,Pop/Rock,DSD,Restricted
41,Faces On Film - Waiting For Ga,Singer/Songwriter,MedleyDB,CC BY-NC-SA
42,Fergessen - Back From The Start,Pop/Rock,DSD,Restricted
43,Fergessen - Nos Palpitants,Pop/Rock,DSD,Restricted
44,Fergessen - The Wind,Pop/Rock,DSD,Restricted
45,Flags - 54,Pop/Rock,DSD,Restricted
46,Forkupines - Semantics,Pop/Rock,DSD,Restricted
47,Georgia Wonder - Siren,Pop/Rock,DSD,Restricted
48,Girls Under Glass - We Feel Alright,Electronic,DSD,Restricted
49,Giselle - Moss,Electronic,DSD,Restricted
50,Grants - PunchDrunk,Rap,MedleyDB,CC BY-NC-SA
51,Helado Negro - Mitad Del Mundo,Pop,MedleyDB,CC BY-NC-SA
52,Hezekiah Jones - Borrowed Heart,Singer/Songwriter,MedleyDB,CC BY-NC-SA
53,Hollow Ground - Ill Fate,Heavy Metal,DSD,Restricted
54,Hollow Ground - Left Blind,Heavy Metal,DSD,Restricted
55,Hop Along - Sister Cities,Rock,MedleyDB,CC BY-NC-SA
56,Invisible Familiars - Disturbing Wildlife,Singer/Songwriter,MedleyDB,CC BY-NC-SA
57,James Elder & Mark M Thompson - The English Actor,Heavy Metal,DSD,Restricted
58,James May - All Souls Moon,Pop/Rock,DSD,Restricted
59,James May - Dont Let Go,Pop/Rock,DSD,Restricted
60,James May - If You Say,Pop/Rock,DSD,Restricted
61,James May - On The Line,Pop/Rock,DSD,Restricted
62,Jay Menon - Through My Eyes,Pop/Rock,DSD,Restricted
63,Johnny Lokke - Promises & Lies,Pop/Rock,DSD,Restricted
64,Johnny Lokke - Whisper To A Scream,Pop/Rock,DSD,Restricted
65,Jokers Jacks & Kings - Sea Of Leaves,Pop/Rock,DSD,Restricted
66,Juliet's Rescue - Heartbeats,Pop/Rock,DSD,Restricted
67,Leaf - Come Around,Pop/Rock,DSD,Restricted
68,Leaf - Summerghost,Pop/Rock,DSD,Restricted
69,Leaf - Wicked,Pop/Rock,DSD,Restricted
70,Little Chicago's Finest - My Own,Rap,DSD,Restricted
71,Louis Cressy Band - Good Time,Pop/Rock,DSD,Restricted
72,Lushlife - Toynbee Suite,Rap,MedleyDB,CC BY-NC-SA
73,Lyndsey Ollard - Catching Up,Pop/Rock,DSD,Restricted
74,M.E.R.C. Music - Knockout,Rap,DSD,Restricted
75,Matthew Entwistle - Dont You Ever,Jazz,MedleyDB,CC BY-NC-SA
76,Meaxic - Take A Step,Rock,MedleyDB,CC BY-NC-SA
77,Meaxic - You Listen,Rock,MedleyDB,CC BY-NC-SA
78,Moosmusic - Big Dummy Shake,Pop/Rock,DSD,Restricted
79,Motor Tapes - Shore,Pop/Rock,DSD,Restricted
80,Mu - Too Bright,Pop/Rock,DSD,Restricted
81,Music Delta - 80s Rock,Rock,MedleyDB,CC BY-NC-SA
82,Music Delta - Beatles,Singer/Songwriter,MedleyDB,CC BY-NC-SA
83,Music Delta - Britpop,Pop,MedleyDB,CC BY-NC-SA
84,Music Delta - Country1,Country,MedleyDB,CC BY-NC-SA
85,Music Delta - Country2,Country,MedleyDB,CC BY-NC-SA
86,Music Delta - Disco,Pop,MedleyDB,CC BY-NC-SA
87,Music Delta - Gospel,Pop,MedleyDB,CC BY-NC-SA
88,Music Delta - Grunge,Rock,MedleyDB,CC BY-NC-SA
89,Music Delta - Hendrix,Rock,MedleyDB,CC BY-NC-SA
90,Music Delta - Punk,Rock,MedleyDB,CC BY-NC-SA
91,Music Delta - Reggae,Rock,MedleyDB,CC BY-NC-SA
92,Music Delta - Rock,Rock,MedleyDB,CC BY-NC-SA
93,Music Delta - Rockabilly,Rock,MedleyDB,CC BY-NC-SA
94,Nerve 9 - Pray For The Rain,Pop/Rock,DSD,Restricted
95,Night Panther - Fire,Pop,MedleyDB,CC BY-NC-SA
96,North To Alaska - All The Same,Pop/Rock,DSD,Restricted
97,Patrick Talbot - A Reason To Leave,Jazz,DSD,Restricted
98,Patrick Talbot - Set Me Free,Jazz,DSD,Restricted
99,Phre The Eon - Everybody's Falling Apart,Pop/Rock,DSD,Restricted
100,Port St Willow - Stay Even,Singer/Songwriter,MedleyDB,CC BY-NC-SA
101,PR - Happy Daze,Electronic,Native Instruments,Restricted
102,PR - Oh No,Electronic,Native Instruments,Restricted
103,Punkdisco - Oral Hygiene,Pop/Rock,DSD,Restricted
104,Raft Monk - Tiring,Pop/Rock,DSD,Restricted
105,Remember December - C U Next Time,Pop/Rock,DSD,Restricted
106,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,DSD,Restricted
107,Secret Mountains - High Horse,Pop,MedleyDB,CC BY-NC-SA
108,Secretariat - Borderline,Pop/Rock,DSD,Restricted
109,Secretariat - Over The Top,Pop/Rock,DSD,Restricted
110,Side Effects Project - Sing With Me,Rap,DSD,Restricted
111,Signe Jakobsen - What Have You Done To Me,Pop/Rock,DSD,Restricted
112,Skelpolu - Human Mistakes,Electronic,DSD,Restricted
113,Skelpolu - Resurrection,Electronic,DSD,Restricted
114,Skelpolu - Together Alone,Electronic,DSD,Restricted
115,Snowmine - Curfews,Pop,MedleyDB,CC BY-NC-SA
116,Speak Softly - Broken Man,Pop/Rock,DSD,Restricted
117,Speak Softly - Like Horses,Pop/Rock,DSD,Restricted
118,Spike Mullings - Mike's Sulking,Pop/Rock,DSD,Restricted
119,St Vitus - Word Gets Around,Pop/Rock,DSD,Restricted
120,Steven Clark - Bounty,Pop,MedleyDB,CC BY-NC-SA
121,Strand Of Oaks - Spacestation,Pop,MedleyDB,CC BY-NC-SA
122,Sweet Lights - You Let Me Down,Pop,MedleyDB,CC BY-NC-SA
123,Swinging Steaks - Lost My Way,Pop/Rock,DSD,Restricted
124,The Districts - Vermont,Rock,MedleyDB,CC BY-NC-SA
125,The Doppler Shift - Atrophy,Pop/Rock,DSD,Restricted
126,The Easton Ellises - Falcon 69,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0
127,The Easton Ellises (Baumi) - SDRNR,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0
128,The Long Wait - Back Home To Blue,Pop/Rock,DSD,Restricted
129,The Long Wait - Dark Horses,Pop/Rock,DSD,Restricted
130,The Mountaineering Club - Mallory,Pop/Rock,DSD,Restricted
131,The Scarlet Brand - Les Fleurs Du Mal,Rock,MedleyDB,CC BY-NC-SA
132,The So So Glos - Emergency,Rock,MedleyDB,CC BY-NC-SA
133,The Sunshine Garcia Band - For I Am The Moon,Reggae,DSD,Restricted
134,The Wrong'Uns - Rothko,Pop/Rock,DSD,Restricted
135,Tim Taler - Stalker,Pop/Rock,DSD,Restricted
136,Timboz - Pony,Heavy Metal,DSD,Restricted
137,Titanium - Haunted Age,Heavy Metal,DSD,Restricted
138,Tom McKenzie - Directions,Pop/Rock,DSD,Restricted
139,Traffic Experiment - Once More (With Feeling),Pop/Rock,DSD,Restricted
140,Traffic Experiment - Sirens,Pop/Rock,DSD,Restricted
141,Triviul - Angelsaint,Pop/Rock,DSD,Restricted
142,Triviul - Dorothy,Pop/Rock,DSD,Restricted
143,Triviul feat. The Fiend - Widow,Pop/Rock,DSD,Restricted
144,Voelund - Comfort Lives In Belief,Pop/Rock,DSD,Restricted
145,Wall Of Death - Femme,Heavy Metal,DSD,Restricted
146,We Fell From The Sky - Not You,Heavy Metal,DSD,Restricted
147,Young Griffo - Blood To Bone,Heavy Metal,DSD,Restricted
148,Young Griffo - Facade,Heavy Metal,DSD,Restricted
149,Young Griffo - Pennies,Heavy Metal,DSD,Restricted
150,Zeno - Signs,Pop/Rock,DSD,Restricted
